"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Denver Broncos (DEN)","63","15","9","12","5","2","0","17","179.0","10.5","89.9%"
"2","Minnesota Vikings (MIN)","49","24","9","10","3","0","0","17","162.0","9.5","79.6%"
"3","Green Bay Packers (GB)","45","17","14","15","1","0","0","17","148.0","8.7","33.4%"
"4","Pittsburgh Steelers (PIT)","40","17","16","18","1","0","1","17","146.0","8.6","87.9%"
"5","Houston Texans (HOU)","49","19","9","10","3","1","0","17","139.0","8.2","67.9%"
"6","Seattle Seahawks (SEA)","45","13","5","14","4","1","1","17","136.0","8.0","30.9%"
"7","Philadelphia Eagles (PHI)","41","13","13","18","1","0","0","17","135.0","7.9","95.3%"
"8","Buffalo Bills (BUF)","39","16","16","17","3","1","0","17","133.0","7.8","64.8%"
"9","Los Angeles Chargers (LAC)","46","15","6","8","1","0","0","17","128.0","7.5","46.1%"
"10","Detroit Lions (DET)","37","16","8","11","1","0","1","17","123.0","7.2","69.0%"
"11","Chicago Bears (CHI)","40","11","13","14","1","0","2","17","121.0","7.1","11.4%"
"12","Baltimore Ravens (BAL)","54","12","5","12","2","0","0","17","120.0","7.1","91.2%"
"13","Los Angeles Rams (LAR)","38","13","7","10","3","1","1","17","118.0","6.9","20.6%"
"14","Dallas Cowboys (DAL)","52","13","9","16","1","0","3","17","111.0","6.5","22.7%"
"15","Kansas City Chiefs (KC)","39","13","7","12","1","0","0","17","106.0","6.2","67.2%"
"16","Tampa Bay Buccaneers (TB)","46","7","11","15","1","1","1","17","104.0","6.1","30.3%"
"17","Cincinnati Bengals (CIN)","36","15","10","12","2","1","1","17","104.0","6.1","19.5%"
"18","Arizona Cardinals (ARI)","41","9","8","16","0","2","1","17","101.0","5.9","21.0%"
"19","New Orleans Saints (NO)","39","14","3","12","0","1","1","17","98.0","5.8","14.1%"
"20","Atlanta Falcons (ATL)","31","12","6","12","4","1","0","17","97.0","5.7","12.0%"
"21","New York Jets (NYJ)","43","7","10","14","0","0","1","17","95.0","5.6","33.7%"
"22","New York Giants (NYG)","45","5","10","15","0","0","2","17","91.0","5.4","7.8%"
"23","Indianapolis Colts (IND)","36","16","9","17","1","0","0","17","91.0","5.4","16.8%"
"24","Washington Commanders (WAS)","43","7","10","12","1","0","0","17","90.0","5.3","44.5%"
"25","San Francisco 49ers (SF)","37","11","6","11","1","0","1","17","84.0","4.9","49.4%"
"26","Miami Dolphins (MIA)","35","10","6","7","0","0","0","17","84.0","4.9","25.9%"
"27","Cleveland Browns (CLE)","41","4","8","11","1","1","1","17","81.0","4.8","17.9%"
"28","Tennessee Titans (TEN)","32","11","6","10","0","2","0","17","72.0","4.2","9.8%"
"29","Las Vegas Raiders (LV)","38","10","3","6","1","0","0","17","71.0","4.2","6.3%"
"30","Jacksonville Jaguars (JAC)","34","6","3","5","1","0","1","17","71.0","4.2","6.8%"
"31","New England Patriots (NE)","28","7","5","9","1","0","0","17","63.0","3.7","10.2%"
"32","Carolina Panthers (CAR)","32","9","8","8","0","0","0","17","41.0","2.4","1.6%"
""
""
