"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"248","Drake Stoops (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Xavier Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Jaylen Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"251","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","John Jackson III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Luther Burden III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.3%"
"255","Elic Ayomanor (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.7%"
"256","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"257","Cole Burgess (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Qadir Ismail (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"261","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.1%"
"262","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.0%"
"263","Dorian Singer (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"265","Tory Horton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"266","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"267","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"268","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"269","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Andrew Armstrong (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Ajou Ajou (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"272","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Elijhah Badger (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Chase Cota (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Tre' Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.0%"
"276","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.5%"
"277","Brenden Rice (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"278","Kobe Hudson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"279","Jayden Higgins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.6%"
"280","Jordan Bly (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Tyler Kahmann (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Blayne Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Silas Bolden (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Quincy Skinner Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Nate McCollum (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Jaylen Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"289","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Eli Pancol (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Cam Camper (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Jakobie Keeney-James (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Landon Parker (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Mac Dalena (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Ke'Shawn Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Rashod Owens (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Kyle Williams (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.1%"
"301","Tommy Mellott (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"302","Junior Bergen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Hal Presley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Jamoi Mayes (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","Joaquin Davis (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Jerjuan Newton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Courtney Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Bryson Green (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Robert Lewis (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Josh Kelly (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Cade McDonald (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","TJ Sheffield (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Ketron Jackson Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Key'Shawn Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Dalevon Campbell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Kyrese Rowan (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Ja'seem Reed (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Mitch Van Vooren (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Ife Adeyi (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Jimmy Holiday (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Jahdae Walker (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Jahmal Banks (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Xavier Guillory (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Moochie Dixon (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Tyrone Broden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"332","Darius Lassiter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Gage Larvadain (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Kisean Johnson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Jeremiah Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Dymere Miller (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Taylor Morin (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Darius Cooper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","Giles Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","Jordan Watkins (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"342","Da'Quan Felton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","TJ Moore (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Pat Bryant (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.4%"
"345","Jaylin Noel (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.9%"
"346","Savion Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"347","Tez Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"348","Tai Felton (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"349","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"350","Antwane Wells Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"351","Chimere Dike (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"352","Theo Wease Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Jack Bech (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6%"
"354","Will Sheppard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","Nick Nash (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"356","Dont'e Thornton Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"357","Jimmy Horn Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"358","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","Isaac TeSlaa (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"360","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"361","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Konata Mumpfield (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"363","Sam Brown Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Jacolby George (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"365","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Jaylin Lane (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"367","Roc Taylor (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"368","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"369","Efton Chism III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"370","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"371","Braylon Sanders (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"372","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"373","Jacoby Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"374","Jalen Virgil (BUF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"375","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"376","Montrell Washington (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"377","Dareke Young (SEA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"378","Mitchell Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"379","KeAndre Lambert-Smith (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"380","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.9%"
"381","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"382","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.6%"
"383","Jacob Harris (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"384","Samori Toure (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"385","Skyy Moore (KC)","0","3","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.1%"
"386","Xavier Weaver (ARI)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"387","Erik Ezukanma (MIA)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"388","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"389","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"390","Ontaria Wilson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"391","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"392","Elijah Cooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"393","Jared Wayne (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"394","Kaden Prather (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"395","Tetairoa McMillan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.7%"
"396","Matt Landers (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"397","Jesse Matthews (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"398","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"399","Shedrick Jackson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"400","T.J. Luther (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"401","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"402","Jason Brownlee (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"404","Kaden Davis (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"405","Tyreik McAllister (FA)","0","0","0","0","0","0","0","2","11","0","0","2","0.0","0.0","1.0%"
"406","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"407","Lance McCutcheon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"408","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.1%"
"409","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"410","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.1%"
"411","Malik Taylor (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"412","Jordan Matthews (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"413","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"414","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"415","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"416","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"417","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"420","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"421","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"422","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"423","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"424","Michael Gallup (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"425","Deon Cain (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"426","Russell Gage Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"427","Braxton Berrios (HOU)","0","4","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.6%"
"428","Equanimeous St. Brown (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"429","Jamal Agnew (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"430","Zach Pascal (NYG)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"431","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"432","Cody Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"433","David Sills (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"434","Hunter Renfrow (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"435","Miles Boykin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"436","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.6%"
"437","Keith Kirkwood (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"438","Phillip Dorsett II (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"439","Alex Erickson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"440","Chris Moore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"441","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"442","Jaden Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"443","Velus Jones Jr. (NO)","1","1","8","8.0","8","0","0","3","11","0","1","2","-0.1","-0.1","0.0%"
"444","Jermaine Jackson (FA)","0","0","0","0","0","0","0","1","-1","0","0","4","-0.1","0.0","0.0%"
"445","Brycen Tremayne (CAR)","1","1","-2","-2.0","0","0","0","0","0","0","0","2","-0.2","-0.1","0.0%"
"446","Steven Sims Jr. (SEA)","0","0","0","0","0","0","0","1","0","0","1","9","-2.0","-0.2","0.0%"
"447","Kadarius Toney (FA)","0","1","0","0","0","0","0","2","-4","0","1","3","-2.4","-0.8","0.6%"
"448","Jha'Quan Jackson (TEN)","1","3","8","8.0","8","0","0","1","-5","0","2","12","-3.7","-0.3","0.0%"
"449","Dee Williams (NYG)","0","0","0","0","0","0","0","0","0","0","3","13","-6.0","-0.5","1.1%"
""
""
