"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"113","DeeJay Dallas (ARI)","9","49","5.4","22","1","0","3","3","11","3.7","1","0","16","18.0","1.1","0.1%"
"113","Carson Steele (KC)","56","183","3.3","9","0","0","7","11","26","3.7","0","2","16","16.9","1.1","0.6%"
"113","Travis Homer (CHI)","6","23","3.8","6","0","0","3","3","11","3.7","0","0","9","3.4","0.4","0.6%"
"116","Jaleel McLaughlin (DEN)","113","496","4.4","21","1","1","24","27","76","3.2","2","1","16","73.2","4.6","5.7%"
"117","Jeremy McNichols (WAS)","55","261","4.7","28","2","4","9","12","27","3.0","0","0","17","54.8","3.2","0.7%"
"117","MarShawn Lloyd (GB)","6","15","2.5","5","0","0","1","1","3","3.0","0","0","1","1.8","1.8","10.9%"
"119","Jaylen Wright (MIA)","68","249","3.7","20","1","0","3","6","8","2.7","0","1","15","23.7","1.6","21.7%"
"120","Khalil Herbert (IND)","36","130","3.6","14","0","1","10","11","25","2.5","0","0","12","21.5","1.8","2.6%"
"121","Gus Edwards (FA)","101","365","3.6","43","1","4","3","5","6","2.0","0","0","11","61.1","5.6","0.8%"
"122","Dameon Pierce (HOU)","40","293","7.3","92","2","2","2","4","2","1.0","0","0","11","41.5","3.8","4.3%"
"123","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"123","Raheem Blackshear (CAR)","15","80","5.3","26","1","0","0","0","0","0","0","0","16","8.0","0.5","0.8%"
"123","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.0%"
"126","J.J. Taylor (HOU)","10","44","4.4","9","0","0","2","3","0","0.0","0","0","4","4.4","1.1","0.6%"
"127","Terrell Jennings (NE)","13","33","2.5","7","0","0","0","1","0","0","0","0","2","3.3","1.7","0.0%"
"127","Jase McClellan (TB)","13","32","2.5","8","0","0","0","0","0","0","0","0","3","3.2","1.1","1.0%"
"127","Rasheen Ali (BAL)","10","31","3.1","9","0","0","0","2","0","0","0","0","5","3.1","0.6","0.6%"
"127","Jonathan Ward (NYG)","5","22","4.4","7","0","0","0","0","0","0","0","0","4","2.2","0.6","0.0%"
"127","Aaron Shampklin (MIA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","1.1%"
"127","Tyreik McAllister (FA)","2","11","5.5","10","0","0","0","0","0","0","0","0","2","1.1","0.6","1.0%"
"127","Reggie Gilliam (BUF)","3","7","2.3","4","0","0","0","0","0","0","0","0","14","0.7","0.1","0.0%"
"127","Tyrion Davis-Price (FA)","3","7","2.3","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"127","Ke'Shawn Vaughn (SF)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"127","Darrynton Evans (BUF)","3","3","1.0","4","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"127","British Brooks (HOU)","1","2","2.0","2","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"127","Joshua Kelley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"127","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"127","Woody Marks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.3%"
"127","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Elijah Young (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Montrell Johnson Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"127","Nathan Carter (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Amar Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"127","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"127","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Quali Conley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Rushawn Baker (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","ShunDerrick Powell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Toa Taua (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"127","Anthony Tyus III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jalen White (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Kayron Lynch-Adams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Tre Stewart (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Zonovan Knight (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Troy Hairston II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"127","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Brittain Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"127","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"127","Evan Hull (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"127","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"127","Nay'Quan Wright (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.8%"
"127","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"127","Jaydon Blue (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.8%"
"127","Jabari Small (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Israel Abanikanda (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"127","Raheim Sanders (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"127","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"127","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Damien Martinez (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"127","Emani Bailey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Owen Wright (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
