"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","78","94","1,106","14.2","43","21","8","0","0","0","0","15","158.6","10.6","99.2%"
"2","Brock Bowers (LV)","112","153","1,194","10.7","57","15","5","5","13","0","0","17","150.7","8.9","99.4%"
"3","Trey McBride (ARI)","111","147","1,146","10.3","37","10","2","1","2","1","0","16","138.8","8.7","99.2%"
"4","Jonnu Smith (PIT)","88","111","884","10.0","57","4","8","2","-1","0","1","17","134.3","7.9","62.9%"
"5","Mark Andrews (BAL)","55","69","673","12.2","67","6","11","4","5","0","0","17","133.8","7.9","94.0%"
"6","Sam LaPorta (DET)","60","83","726","12.1","52","11","7","0","0","0","0","16","114.6","7.2","98.8%"
"7","Tucker Kraft (GB)","50","70","707","14.1","67","11","7","3","6","0","1","17","113.3","6.7","81.4%"
"8","Zach Ertz (WAS)","66","91","654","9.9","37","7","7","0","0","0","0","17","111.4","6.6","42.6%"
"9","Pat Freiermuth (PIT)","65","78","653","10.0","30","7","7","0","0","0","2","17","103.3","6.1","23.9%"
"10","Travis Kelce (KC)","97","133","823","8.5","38","9","3","1","1","0","1","16","98.4","6.2","96.2%"
"11","David Njoku (CLE)","64","97","505","7.9","29","4","5","0","0","0","0","11","84.5","7.7","90.6%"
"12","Kyle Pitts Sr. (ATL)","47","74","602","12.8","52","7","4","0","0","0","0","17","84.2","5.0","63.1%"
"13","Isaiah Likely (BAL)","42","58","477","11.4","49","4","6","0","0","0","1","16","81.7","5.1","33.9%"
"14","Cade Otton (TB)","59","87","600","10.2","44","7","4","1","-4","0","1","14","81.6","5.8","21.1%"
"15","Taysom Hill (NO)","23","31","187","8.1","34","2","0","39","278","6","1","8","80.3","10.0","6.7%"
"16","Hunter Henry (NE)","66","97","674","10.2","35","4","2","0","0","0","0","16","79.4","5.0","46.6%"
"17","Mike Gesicki (CIN)","65","83","665","10.2","47","5","2","0","0","0","1","17","76.5","4.5","19.3%"
"18","Cole Kmet (CHI)","47","55","474","10.1","31","7","4","0","0","0","0","17","73.4","4.3","10.3%"
"19","Noah Gray (KC)","40","49","437","10.9","35","6","5","1","-4","0","0","17","73.3","4.3","6.9%"
"20","Juwan Johnson (NO)","50","66","548","11.0","30","8","3","0","0","0","0","17","72.8","4.3","8.9%"
"21","Foster Moreau (NO)","32","43","413","12.9","41","7","5","0","0","0","0","17","71.3","4.2","0.9%"
"22","Tyler Conklin (LAC)","51","72","449","8.8","27","7","4","1","0","0","0","16","70.9","4.4","5.7%"
"23","Dalton Schultz (HOU)","53","85","532","10.0","32","5","2","0","0","0","0","17","65.2","3.8","12.1%"
