"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","46","17","9","14","6","1","1","17","178.0","10.5","22.7%"
"2","Baltimore Ravens (BAL)","60","18","13","16","1","1","1","17","174.0","10.2","91.2%"
"3","Buffalo Bills (BUF)","54","18","12","12","2","0","1","17","159.0","9.4","64.8%"
"4","Cleveland Browns (CLE)","49","18","10","12","3","0","0","17","157.0","9.2","17.9%"
"5","New York Jets (NYJ)","48","17","10","13","3","3","1","17","157.0","9.2","33.7%"
"6","Miami Dolphins (MIA)","56","15","12","15","4","0","0","17","152.0","8.9","25.9%"
"7","Las Vegas Raiders (LV)","46","13","9","13","5","1","0","17","146.0","8.6","6.3%"
"8","Pittsburgh Steelers (PIT)","47","16","11","18","2","1","0","17","143.0","8.4","87.9%"
"9","New Orleans Saints (NO)","34","18","11","8","2","0","1","17","143.0","8.4","14.1%"
"10","San Francisco 49ers (SF)","48","22","6","10","1","1","0","17","141.0","8.3","49.4%"
"11","Indianapolis Colts (IND)","51","15","9","16","4","1","1","17","139.0","8.2","16.8%"
"12","Kansas City Chiefs (KC)","57","8","9","14","2","0","0","17","134.0","7.9","67.2%"
"13","Tampa Bay Buccaneers (TB)","48","13","12","18","1","1","0","17","133.0","7.8","30.3%"
"14","New York Giants (NYG)","34","18","13","15","3","0","1","17","131.0","7.7","7.8%"
"15","Houston Texans (HOU)","46","14","10","13","1","0","2","17","131.0","7.7","67.9%"
"16","Minnesota Vikings (MIN)","43","11","11","21","2","0","0","17","125.0","7.4","79.6%"
"17","Jacksonville Jaguars (JAC)","40","16","11","11","2","0","0","17","120.0","7.1","6.8%"
"18","Chicago Bears (CHI)","30","22","6","10","2","0","0","17","120.0","7.1","11.4%"
"19","Cincinnati Bengals (CIN)","44","17","9","11","1","0","1","17","118.0","6.9","19.5%"
"20","Denver Broncos (DEN)","42","11","15","17","1","1","1","17","118.0","6.9","89.9%"
"21","Green Bay Packers (GB)","45","7","11","10","2","0","0","17","115.0","6.8","33.4%"
"22","Los Angeles Chargers (LAC)","48","9","12","13","0","0","1","17","112.0","6.6","46.1%"
"23","New England Patriots (NE)","36","10","8","13","1","1","1","17","110.0","6.5","10.2%"
"24","Seattle Seahawks (SEA)","47","11","8","12","3","0","0","17","109.0","6.4","30.9%"
"25","Detroit Lions (DET)","41","16","6","11","1","1","0","17","107.0","6.3","69.0%"
"26","Tennessee Titans (TEN)","45","6","8","11","1","0","0","17","100.0","5.9","9.8%"
"27","Philadelphia Eagles (PHI)","43","9","8","13","3","1","0","17","100.0","5.9","95.3%"
"28","Atlanta Falcons (ATL)","42","8","8","18","1","1","0","17","99.0","5.8","12.0%"
"29","Los Angeles Rams (LAR)","41","10","5","7","0","2","0","17","83.0","4.9","20.6%"
"30","Carolina Panthers (CAR)","27","8","3","5","2","0","1","17","71.0","4.2","1.6%"
"31","Arizona Cardinals (ARI)","33","11","6","4","1","0","0","17","65.0","3.8","21.0%"
"32","Washington Commanders (WAS)","39","8","10","10","0","0","0","17","58.0","3.4","44.5%"
""
""
