"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","135","181","1,749","13.0","92","29","12","14","113","2","2","17","268.2","15.8","99.4%"
"2","Tyreek Hill (MIA)","119","171","1,799","15.1","78","29","13","6","15","0","1","16","257.4","16.1","98.3%"
"3","Amon-Ra St. Brown (DET)","119","164","1,515","12.7","70","24","10","4","24","0","1","16","211.9","13.2","99.5%"
"4","Mike Evans (TB)","79","136","1,255","15.9","75","20","13","0","0","0","0","17","203.5","12.0","97.6%"
"5","Puka Nacua (LAR)","105","160","1,486","14.2","80","25","6","12","89","0","0","17","193.5","11.4","99.4%"
"6","DJ Moore (CHI)","96","136","1,364","14.2","58","25","8","4","21","1","1","17","190.5","11.2","93.7%"
"7","Deebo Samuel Sr. (WAS)","60","89","892","14.9","54","15","7","37","225","5","0","15","183.7","12.2","83.6%"
"8","A.J. Brown (PHI)","106","158","1,456","13.7","59","21","7","0","0","0","2","17","183.6","10.8","99.3%"
"9","Nico Collins (HOU)","80","109","1,297","16.2","75","25","8","1","7","0","0","15","180.4","12.0","99.4%"
"10","Brandon Aiyuk (SF)","75","105","1,342","17.9","76","28","7","0","0","0","1","16","174.2","10.9","55.8%"
"11","Keenan Allen (LAC)","108","150","1,243","11.5","42","19","7","2","6","0","1","13","170.9","13.1","38.3%"
"12","Stefon Diggs (NE)","107","160","1,183","11.1","55","10","8","1","5","0","1","17","166.8","9.8","83.7%"
"13","Ja'Marr Chase (CIN)","100","145","1,216","12.2","76","14","7","3","-6","0","0","16","162.7","10.2","99.6%"
"14","Davante Adams (LAR)","103","175","1,144","11.1","46","13","8","0","0","0","0","17","162.4","9.6","96.5%"
"15","DK Metcalf (PIT)","66","119","1,114","16.9","73","19","8","0","0","0","0","16","159.4","10.0","96.0%"
"16","Amari Cooper (FA)","72","128","1,250","17.4","75","21","5","0","0","0","1","15","155.0","10.3","9.6%"
"17","Calvin Ridley (TEN)","76","136","1,016","13.4","59","17","8","9","23","0","0","17","153.9","9.1","87.9%"
"18","Jayden Reed (GB)","64","94","793","12.4","59","13","8","11","119","2","0","16","153.2","9.6","78.7%"
"19","Jordan Addison (MIN)","70","108","911","13.0","62","15","10","1","2","0","0","17","151.3","8.9","83.7%"
"20","DeAndre Hopkins (BAL)","75","137","1,057","14.1","61","15","7","2","9","0","0","17","148.6","8.7","16.7%"
"21","Jakobi Meyers (LV)","71","106","807","11.4","33","8","8","4","24","2","0","16","147.6","9.2","82.3%"
"22","DeVonta Smith (PHI)","81","112","1,066","13.2","63","14","7","0","0","0","1","16","146.6","9.2","93.2%"
"23","George Pickens (DAL)","63","106","1,140","18.1","86","22","5","3","18","0","0","17","145.8","8.6","91.6%"
"24","Chris Olave (NO)","87","138","1,123","12.9","51","16","5","0","0","0","0","16","144.3","9.0","85.3%"
"25","Michael Pittman Jr. (IND)","109","156","1,152","10.6","75","10","4","0","0","0","1","16","141.2","8.8","65.2%"
"26","Justin Jefferson (MIN)","68","100","1,074","15.8","52","25","5","1","-12","0","1","10","134.2","13.4","99.5%"
"27","Rashee Rice (KC)","79","102","938","11.9","67","10","7","1","-3","0","1","16","133.5","8.3","92.8%"
"28","Courtland Sutton (DEN)","59","90","772","13.1","46","14","10","0","0","0","3","16","131.2","8.2","92.2%"
"29","Terry McLaurin (WAS)","79","132","1,002","12.7","48","15","4","0","0","0","0","17","130.2","7.7","96.8%"
"30","Zay Flowers (BAL)","77","108","858","11.1","75","12","5","8","56","1","0","16","129.4","8.1","93.7%"
"31","Adam Thielen (CAR)","103","137","1,014","9.8","32","9","4","1","6","0","0","17","128.0","7.5","36.5%"
"32","Jaylen Waddle (MIA)","72","104","1,014","14.1","60","12","4","3","12","0","0","14","126.6","9.0","89.5%"
"33","Chris Godwin (TB)","83","130","1,024","12.3","47","14","2","4","38","1","0","17","126.2","7.4","83.6%"
"34","Tyler Lockett (TEN)","79","122","894","11.3","37","9","5","0","0","0","0","17","123.4","7.3","10.4%"
"35","Brandin Cooks (NO)","54","81","657","12.2","37","11","8","5","35","0","0","16","119.2","7.5","4.8%"
"36","Garrett Wilson (NYJ)","95","168","1,042","11.0","68","11","3","4","0","0","2","17","118.2","7.0","96.9%"
"37","Tank Dell (HOU)","47","75","709","15.1","68","10","7","11","51","0","0","11","118.0","10.7","5.1%"
"38","Gabe Davis (FA)","45","81","746","16.6","57","12","7","1","-2","0","1","17","116.4","6.8","3.3%"
"39","Romeo Doubs (GB)","59","96","674","11.4","36","7","8","0","0","0","0","17","115.4","6.8","18.0%"
"40","Rashid Shaheed (NO)","46","75","719","15.6","58","12","5","7","37","0","1","16","109.6","6.9","59.7%"
"41","Cooper Kupp (SEA)","59","95","737","12.5","62","10","5","1","-3","0","0","12","105.4","8.8","83.1%"
