"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"19","Jerome Ford (CLE)","204","813","4.0","69","5","4","44","63","319","7.3","5","1","17","167.2","9.8","45.3%"
"20","Najee Harris (LAC)","255","1,035","4.1","25","8","8","29","38","170","5.9","0","1","17","166.5","9.8","60.4%"
"21","De'Von Achane (MIA)","103","800","7.8","76","8","8","27","37","197","7.3","3","1","11","163.7","14.9","99.1%"
"22","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","36","43","368","10.2","4","2","15","162.1","10.8","84.1%"
"23","D'Andre Swift (CHI)","229","1,049","4.6","43","6","5","39","49","214","5.5","1","1","16","160.3","10.0","88.9%"
"24","Alvin Kamara (NO)","180","694","3.9","17","0","5","75","86","466","6.2","1","0","13","158.0","12.2","96.2%"
"25","Josh Jacobs (GB)","233","805","3.5","63","3","6","37","54","296","8.0","0","1","13","144.1","11.1","99.3%"
"26","Chuba Hubbard (CAR)","238","902","3.8","22","4","5","39","44","233","6.0","0","0","17","143.5","8.4","95.3%"
"27","Zack Moss (FA)","183","794","4.3","56","6","5","27","37","192","7.1","2","0","14","142.6","10.2","5.8%"
"28","Jonathan Taylor (IND)","169","741","4.4","49","4","7","19","23","153","8.1","1","0","10","137.4","13.7","99.0%"
"29","Devin Singletary (NYG)","216","898","4.2","34","3","4","30","38","193","6.4","0","0","17","137.3","8.1","3.7%"
"30","Jaylen Warren (PIT)","149","784","5.3","74","6","4","61","74","370","6.1","0","2","17","135.4","8.0","81.7%"
"31","Austin Ekeler (WAS)","179","628","3.5","55","3","5","51","74","436","8.5","1","4","14","134.4","9.6","53.3%"
"32","Javonte Williams (DAL)","217","774","3.6","31","2","3","47","58","228","4.9","2","1","16","132.2","8.3","70.5%"
"33","Ezekiel Elliott (FA)","184","642","3.5","17","0","3","51","65","313","6.1","2","1","17","123.5","7.3","0.8%"
"34","Tyler Allgeier (ATL)","186","683","3.7","31","2","4","18","23","193","10.7","1","0","17","119.6","7.0","34.3%"
"35","Rhamondre Stevenson (NE)","156","619","4.0","64","1","4","38","51","238","6.3","0","1","12","107.7","9.0","74.8%"
"36","Aaron Jones Sr. (MIN)","142","656","4.6","39","3","2","30","43","233","7.8","1","1","11","104.9","9.5","88.4%"
"37","Kareem Hunt (KC)","135","411","3.0","16","0","9","15","21","84","5.6","0","0","15","103.5","6.9","19.4%"
"38","Alexander Mattison (MIA)","180","700","3.9","21","1","0","30","44","192","6.4","3","2","16","103.2","6.5","2.4%"
"39","Tyjae Spears (TEN)","100","453","4.5","23","3","2","52","70","385","7.4","1","0","17","101.8","6.0","57.8%"
"40","A.J. Dillon (PHI)","178","613","3.4","40","1","2","22","28","223","10.1","0","0","15","95.6","6.4","3.2%"
"41","Khalil Herbert (IND)","132","611","4.6","38","5","2","20","31","134","6.7","1","1","12","92.5","7.7","2.6%"
"42","Justice Hill (BAL)","84","387","4.6","41","2","3","28","39","206","7.4","1","1","16","81.3","5.1","14.4%"
"43","D'Onta Foreman (FA)","109","425","3.9","22","1","4","11","16","77","7.0","1","0","9","80.2","8.9","2.7%"
"44","Ty Chandler (MIN)","102","461","4.5","31","3","3","21","25","159","7.6","0","0","16","80.0","5.0","1.7%"
"45","Antonio Gibson (NE)","65","265","4.1","16","0","1","48","59","389","8.1","2","2","16","79.4","5.0","3.5%"
"46","Jaleel McLaughlin (DEN)","76","410","5.4","38","4","1","31","36","160","5.2","2","0","17","75.0","4.4","5.7%"
"47","Rico Dowdle (CAR)","89","361","4.1","21","2","2","17","22","144","8.5","2","0","16","74.5","4.7","23.4%"
"48","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","33","40","209","6.3","0","0","16","73.1","4.6","69.9%"
"49","Samaje Perine (CIN)","53","238","4.5","24","1","1","50","56","455","9.1","0","2","17","71.3","4.2","2.5%"
"50","Dameon Pierce (HOU)","145","416","2.9","22","1","2","13","17","101","7.8","0","0","14","69.7","5.0","4.3%"
"51","Roschon Johnson (CHI)","81","352","4.3","29","2","2","34","40","209","6.1","0","0","15","68.1","4.5","17.2%"
"52","Kenneth Gainwell (PIT)","84","364","4.3","32","3","2","30","37","183","6.1","0","1","16","67.4","4.2","1.7%"
"53","Latavius Murray (FA)","79","300","3.8","29","2","4","17","22","119","7.0","0","0","15","65.9","4.4","0.0%"
"54","Keaton Mitchell (BAL)","47","396","8.4","60","7","2","9","11","93","10.3","0","0","7","60.9","8.7","9.2%"
